payment_id,account_id,payment_date,amount,payment_type,or_ar_number,raw_remark
1,Buenaflor1_2,2020-10-26,235000.0,Installment,,
2,Buenaflor1_2,,1000.0,DAS Fee,,DAS
3,Buenaflor1_4,2020-06-03,30000.0,Installment,,
4,Buenaflor1_4,2020-10-12,50000.0,Installment,,
5,Buenaflor1_4,2024-05-15,5000.0,Installment,,
6,Buenaflor1_4,2025-05-22,65000.0,Installment,,
7,Buenaflor1_4,2025-07-01,30000.0,Installment,,
8,Buenaflor1_5,2020-06-16,40000.0,Installment,,
9,Buenaflor1_5,,500.0,DCS Fee,,DCS
10,Buenaflor1_5,2020-07-11,27678.0,Installment,,
11,Buenaflor1_5,2020-07-11,5577.0,Installment,,
12,Buenaflor1_5,2020-09-12,17000.0,Installment,,
13,Buenaflor1_5,2020-10-01,15000.0,Installment,,
14,Buenaflor1_5,2020-10-12,22000.0,Installment,,
15,Buenaflor1_5,2021-02-13,14000.0,Installment,,
16,Buenaflor1_5,2021-02-20,10000.0,Installment,,
17,Buenaflor1_5,2021-02-22,10000.0,Installment,,
18,Buenaflor1_5,2021-03-15,10000.0,Installment,,
19,Buenaflor1_5,2021-04-10,14500.0,Installment,,
20,Buenaflor1_5,2021-05-18,10000.0,Installment,,
21,Buenaflor1_5,2021-07-17,10000.0,Installment,,
22,Buenaflor1_5,2021-07-31,20000.0,Installment,,
23,Buenaflor1_5,2021-10-23,14274.0,Installment,,
24,Buenaflor1_5,,1000.0,DAS Fee,,DAS
25,Buenaflor1_6,2020-06-17,30000.0,Installment,,
26,Buenaflor1_6,2020-07-25,9600.0,Installment,,
27,Buenaflor1_6,2020-09-30,9600.0,Installment,,
28,Buenaflor1_6,2020-11-28,9600.0,Installment,,
29,Buenaflor1_6,,100000.0,Installment,,montilla
30,Buenaflor1_6,2023-07-01,101600.0,Installment,,
31,Buenaflor1_6,,1000.0,DAS Fee,,DAS
32,Buenaflor1_7,2020-06-20,30000.0,Installment,,
33,Buenaflor1_7,2020-07-24,20000.0,Installment,,
34,Buenaflor1_7,2020-10-28,20000.0,Installment,,
35,Buenaflor1_7,2020-11-26,20000.0,Installment,,
36,Buenaflor1_7,2021-02-03,9600.0,Installment,,
37,Buenaflor1_7,2021-02-25,9600.0,Installment,,
38,Buenaflor1_7,2021-03-30,9600.0,Installment,,
39,Buenaflor1_7,2021-04-24,9600.0,Installment,,
40,Buenaflor1_7,2021-05-22,9600.0,Installment,,
41,Buenaflor1_7,2021-06-25,9600.0,Installment,,
42,Buenaflor1_7,2021-07-22,9600.0,Installment,,
43,Buenaflor1_7,2021-08-25,9600.0,Installment,,
44,Buenaflor1_7,2021-09-29,7000.0,Installment,,
45,Buenaflor1_7,2021-10-25,5000.0,Installment,,
46,Buenaflor1_7,2021-11-27,5000.0,Installment,,
47,Buenaflor1_7,2021-12-28,5000.0,Installment,,
